ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description	entrezgene_id	gene_biotype
ENSG00000000003	1307.84260959672	-0.03256129956959731	0.09372003132903348	-0.3474315907479873	0.728267103720481	0.8294236258941978	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	7105	protein_coding
ENSG00000000419	3003.9750850549885	-0.055792944196706294	0.08449787813325224	-0.6602881093501712	0.5090689591985207	0.6626121141850367	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	8813	protein_coding
ENSG00000000457	604.3286218007283	0.06411035359686287	0.10875672863683034	0.5894840199813806	0.555536628777658	0.7009716868486621	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	57147	protein_coding
ENSG00000000460	1282.4278478703288	0.2648971770925501	0.24110049735301314	1.0987002515581479	0.2718988328119288	0.43207593191225885	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	55732	protein_coding
ENSG00000000971	970.4394076382317	0.11920266941166786	0.31146116343044916	0.3827208121191213	0.7019267814180898	0.8109554285568176	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	3075	protein_coding
ENSG00000001036	7033.956994070063	-0.012285869440111069	0.04778946743435037	-0.2570832047247332	0.7971145426099664	0.8755938340821486	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	2519	protein_coding
ENSG00000001084	51.83820903655047	-0.8886787168456878	0.40712517757116257	-2.182814440873908	0.029049477780656953	0.08150204770329285	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	2729	protein_coding
ENSG00000001167	4582.393825663225	0.30934564905247	0.15797210134257247	1.9582296267720996	0.05020307417723258	0.12433672902125324	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	4800	protein_coding
ENSG00000001460	414.1902866614364	0.18163514951774057	0.16646254839785163	1.0911472356149796	0.27520810096803994	0.43558540978965954	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	90529	protein_coding
ENSG00000001461	3446.946436666629	0.08198130269404506	0.12332106385473349	0.6647793988431308	0.5061916011154887	0.6599827828996355	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	57185	protein_coding
ENSG00000001497	3852.8545559731856	-0.18202052547824146	0.1312438092636334	-1.3868884673456203	0.16547577502058428	0.3040701855642965	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	81887	protein_coding
ENSG00000001561	774.6815323631135	0.7462487895470352	0.245067317737477	3.0450767423277463	0.002326209450285217	0.010964042296803488	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	22875	protein_coding
ENSG00000001617	563.5929590133993	-0.12451765234211341	0.20144348696272923	-0.6181269705937501	0.5364916449814915	0.6850501957711507	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	6405	protein_coding
