ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description	entrezgene_id	gene_biotype
ENSG00000000003	1307.8490146834934	0.028184498293409486	0.09399463253074525	0.299852210009869	0.7642898887237555	0.8444784794564718	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	7105	protein_coding
ENSG00000000419	3003.968694928936	-0.06961632080573422	0.08460787302672988	-0.8228113804934036	0.4106152639118961	0.5463680093727498	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	8813	protein_coding
ENSG00000000457	606.0483450175927	0.16054991896285242	0.10906287584755296	1.472085874457112	0.1409976894606289	0.24250272750494614	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	57147	protein_coding
ENSG00000000460	1282.2851077241762	0.3958439963994641	0.2417864124399555	1.6371639431879441	0.10159621876683429	0.18798691533905962	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	55732	protein_coding
ENSG00000000971	970.4116507214508	0.11575200319079583	0.3113998678303396	0.37171500423969717	0.7101050524738505	0.8033751773253137	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	3075	protein_coding
ENSG00000001036	7034.2024615986475	-0.013897657506015942	0.0479047819508729	-0.2901100253471189	0.7717320663484327	0.8499908374412246	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	2519	protein_coding
ENSG00000001084	51.52377821816815	-0.3292991179877059	0.39838742093533197	-0.8265801094185632	0.4084750950964253	0.5443846853487219	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	2729	protein_coding
ENSG00000001167	4582.399706769854	0.4437193779253404	0.15815307553065483	2.805632305514882	0.005021796044335886	0.016547092576902293	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	4800	protein_coding
ENSG00000001460	412.9658603527829	0.059961888579472926	0.158105058721718	0.3792534474498525	0.7044996654643695	0.798966465454708	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	90529	protein_coding
ENSG00000001461	3446.9257784538363	0.06871988611186729	0.12339162457355997	0.5569250453534623	0.5775786419256925	0.6966633941208158	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	57185	protein_coding
ENSG00000001497	3852.9026158797355	-0.19407360410781757	0.1316022812774657	-1.4746978716777674	0.1402937885454822	0.2415121436522894	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	81887	protein_coding
ENSG00000001561	774.6602671898637	0.8531473838675697	0.24495109926331785	3.4829293946154216	4.959591488532736e-4	0.002383321027724521	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	22875	protein_coding
ENSG00000001617	563.5883592330503	-0.1744149684044719	0.20167721579262862	-0.8648223733106833	0.3871362892438055	0.522477537504129	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	6405	protein_coding
ENSG00000001629	4446.6975891064285	0.12163951751698382	0.12751514401013495	0.9539221279263573	0.3401230616665737	0.47422690583807336	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	54467	protein_coding
ENSG00000001630	4896.7708571276435	0.24594579943835224	0.07037422753504183	3.4948276954924595	4.7436788713757136e-4	0.0022978904396503325	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	1595	protein_coding
ENSG00000001631	788.170462131582	1.245181822774161	0.3111684878318	4.0016321429284165	6.290704668408998e-5	4.234233899926193e-4	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	889	protein_coding
ENSG00000002016	508.48707614640443	-0.07325402975953094	0.16787655714035096	-0.43635651699890343	0.6625780824076445	0.7663720283832036	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	5893	protein_coding
ENSG00000002330	3943.617828742666	-0.18317848543568624	0.1092326996238199	-1.676956498068105	0.0935509888179582	0.17601454711214806	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	572	protein_coding
ENSG00000002549	5705.681458352076	-0.16770737095323635	0.07918257201392027	-2.1179833729542588	0.03417647586028661	0.0783802381181056	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	51056	protein_coding
ENSG00000002586	11169.98765502504	-0.2772444300750572	0.17819647418068246	-1.5558356659399726	0.1197471746724865	0.21391897986240485	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	4267	protein_coding
ENSG00000002587	1282.613032590134	0.7596293478734967	0.20484902810759714	3.7082399408529323	2.0870485175714053e-4	0.0011505332301122557	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	9957	protein_coding
ENSG00000002746	89.55875467724915	-0.012116845920402903	0.2936201288105888	-0.041267081958878064	0.9670829754961503	0.9810278844533119	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	23072	protein_coding
ENSG00000002822	2299.7072366298116	-0.27390596353449587	0.1158099766898918	-2.3651327058630094	0.018023611286059716	0.04692640030311884	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	8379	protein_coding
ENSG00000002834	38797.33624241966	0.30802027215483185	0.05959339303508935	5.168698348380089	2.3573001973635583e-7	3.505345862152527e-6	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	3927	protein_coding
ENSG00000002919	1249.0011872920963	0.24806613129236563	0.16131760955722635	1.5377498586375087	0.12410978773982247	0.21961664303960668	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	29916	protein_coding
ENSG00000003056	8389.850373188765	-0.10065404503045654	0.08019236931059279	-1.2551573908561513	0.20942162995152877	0.3277667272160629	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	4074	protein_coding
ENSG00000003137	640.095554887952	0.198382508260029	0.11284693500743051	1.7579787013884456	0.07875113335213567	0.15378497352786363	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	56603	protein_coding
ENSG00000003147	246.41888300314832	0.24870186541203065	0.18637906995167755	1.3343873079552953	0.1820769574125374	0.29475581740221424	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	3382	protein_coding
ENSG00000003249	321.9181543759253	0.5315610297690899	0.19626792308831978	2.708343887298841	0.006761991628749017	0.02108311405688023	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	79007	protein_coding
ENSG00000003393	2627.737888201853	-0.45255217110205886	0.14453806772236993	-3.1310240840587773	0.001741978740892813	0.006831376165827248	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	57679	protein_coding
ENSG00000003400	240.35050204292972	-0.154378817379334	0.14969935171739449	-1.031259091026483	0.3024193368362	0.43347084385281787	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	843	protein_coding
ENSG00000003402	3898.1453894295437	-0.08298827662159593	0.12529547433532384	-0.6623405758415292	0.507752978119477	0.6383551959683843	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	8837	protein_coding
ENSG00000003436	2333.5003841251955	-0.4447102698373463	0.1467587647452256	-3.0302126800356146	0.0024438158367452723	0.009074936460450296	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	7035	protein_coding
ENSG00000003509	227.83578507319518	0.5406183775392657	0.1985047982636666	2.723452441795297	0.006460351628125966	0.020301400939268743	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	55471	protein_coding
ENSG00000003756	4695.099421193919	-0.29088694974142815	0.17137225624135807	-1.6973981443749413	0.08962141315795555	0.17023985283957518	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	10181	protein_coding
ENSG00000003987	96.6342439744833	-0.6635756994756544	0.2146471101696939	-3.091472785033306	0.001991662384765793	0.0076503461725247026	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	9108	protein_coding
